group,method,environment,seeds,mean_last10,stderr_last10
shared,PPO fixed lr (5s),ant,5,3006.7390900021983,259.60611965617073
shared,PPO fixed lr (5s),halfcheetah,5,5147.0103634606,223.89756562897043
shared,PPO fixed lr (5s),hopper,5,2508.8816005262,205.47265657928122
shared,PPO fixed lr (5s),humanoid,5,4963.669892612797,451.53687493795684
shared,PPO fixed lr (5s),humanoidstandup,5,125612.00862972334,1650.0736853145488
shared,PPO fixed lr (5s),swimmer,5,111.84065754840017,10.42306863957597
shared,PPO fixed lr (5s),walker2d,5,3545.443349383001,54.285484226874686
shared,RAT EF+GGN tuned (5s),ant,5,5138.165844365399,394.18146644201687
shared,RAT EF+GGN tuned (5s),halfcheetah,5,5155.939522121601,169.72560698509383
shared,RAT EF+GGN tuned (5s),hopper,5,2427.027923508401,183.35051099148788
shared,RAT EF+GGN tuned (5s),humanoid,5,6169.089329056402,334.09719963205373
shared,RAT EF+GGN tuned (5s),humanoidstandup,5,156048.47726425438,623.4793668738425
shared,RAT EF+GGN tuned (5s),swimmer,5,104.3536881506,38.70142742082354
shared,RAT EF+GGN tuned (5s),walker2d,5,4516.576056173203,233.32082303071735
shared,Exact-RAT d=.03 (5s),ant,5,5138.0,394.081336782142
shared,Exact-RAT d=.03 (5s),halfcheetah,5,4508.800000000001,157.26995898772321
shared,Exact-RAT d=.03 (5s),hopper,5,834.0395999999998,363.247750534205
shared,Exact-RAT d=.03 (5s),humanoid,5,6169.2,333.98613743687025
shared,Exact-RAT d=.03 (5s),humanoidstandup,5,155920.0,566.9215113223346
shared,Exact-RAT d=.03 (5s),swimmer,5,104.34200000000014,38.68865252241278
shared,Exact-RAT d=.03 (5s),walker2d,5,4516.199999999999,232.8171814965545
shared,Exact-RAT d=.1 (5s),ant,5,4950.8,150.7340041264744
shared,Exact-RAT d=.1 (5s),halfcheetah,5,4950.4,342.36772628272075
shared,Exact-RAT d=.1 (5s),hopper,5,712.6391999999994,382.3940319940155
shared,Exact-RAT d=.1 (5s),humanoid,5,6041.8,339.98594088579597
shared,Exact-RAT d=.1 (5s),humanoidstandup,5,152240.0,3487.348563020336
shared,Exact-RAT d=.1 (5s),swimmer,5,36.67744000000003,15.179055944082965
shared,Exact-RAT d=.1 (5s),walker2d,5,3722.4,737.4086112868496
shared,Curv256 d=.03 (5s),ant,5,4782.4,100.8556394060342
shared,Curv256 d=.03 (5s),halfcheetah,5,5272.6,87.96965385858921
shared,Curv256 d=.03 (5s),hopper,5,2304.2799999999997,365.9118724501843
shared,Curv256 d=.03 (5s),humanoid,5,6045.2,82.45568506779868
shared,Curv256 d=.03 (5s),humanoidstandup,5,173960.0,18059.390908887264
shared,Curv256 d=.03 (5s),swimmer,5,222.158,32.50311621983345
shared,Curv256 d=.03 (5s),walker2d,5,4013.1999999999985,433.54208561568646
shared,Curv256 d=.1 (5s),ant,5,4786.6,192.59766353722983
shared,Curv256 d=.1 (5s),halfcheetah,5,4927.4000000000015,222.25966795620005
shared,Curv256 d=.1 (5s),hopper,5,1518.9081999999999,583.5168106466515
shared,Curv256 d=.1 (5s),humanoid,5,5852.4,137.4971272427173
shared,Curv256 d=.1 (5s),humanoidstandup,5,165420.0,13235.384391848995
shared,Curv256 d=.1 (5s),swimmer,5,116.97200000000001,45.593712110333804
shared,Curv256 d=.1 (5s),walker2d,5,3581.0,490.37811941398854
shared,Energy-free255+1 d=.03 (5s),ant,5,5124.6,48.58765275252551
shared,Energy-free255+1 d=.03 (5s),halfcheetah,5,5214.199999999999,326.24567430082425
shared,Energy-free255+1 d=.03 (5s),hopper,5,2765.6,324.8238907469708
shared,Energy-free255+1 d=.03 (5s),humanoid,5,5923.2,217.7033302455431
shared,Energy-free255+1 d=.03 (5s),humanoidstandup,5,155720.0,1094.7145746723206
shared,Energy-free255+1 d=.03 (5s),swimmer,5,112.62199999999996,4.999248343501274
shared,Energy-free255+1 d=.03 (5s),walker2d,5,5141.8,416.5848533012212
shared,Energy-free255+1 d=.1 (5s),ant,5,4771.2,98.22290975123879
shared,Energy-free255+1 d=.1 (5s),halfcheetah,5,4673.6,235.37982071537056
shared,Energy-free255+1 d=.1 (5s),hopper,5,2649.8,339.01923249278934
shared,Energy-free255+1 d=.1 (5s),humanoid,5,1481.3799999999999,760.4266791742646
shared,Energy-free255+1 d=.1 (5s),humanoidstandup,5,139500.0,5062.410493035902
shared,Energy-free255+1 d=.1 (5s),swimmer,5,106.00399999999999,29.73926438229434
shared,Energy-free255+1 d=.1 (5s),walker2d,5,3023.8,215.8792254942564
shared,Curv256 VF=4.0 (3s),ant,3,4716.0,285.15434417171343
shared,Curv256 VF=4.0 (3s),halfcheetah,3,6477.333333333336,147.80317242122433
shared,Curv256 VF=4.0 (3s),hopper,3,3332.6666666666665,27.155928348050352
shared,Curv256 VF=4.0 (3s),humanoid,3,5478.666666666667,236.520847096215
shared,Curv256 VF=4.0 (3s),humanoidstandup,3,160333.33333333334,2079.5298613976297
shared,Curv256 VF=4.0 (3s),swimmer,3,339.86666666666656,14.740571374422634
shared,Curv256 VF=4.0 (3s),walker2d,3,3885.0,251.75186195935078
shared,Energy-free VF=1.5 (3s),ant,3,5187.0,62.17984668148783
shared,Energy-free VF=1.5 (3s),halfcheetah,3,6252.333333333333,146.94027509312906
shared,Energy-free VF=1.5 (3s),hopper,3,2644.633333333333,588.6202803543591
shared,Energy-free VF=1.5 (3s),humanoid,3,6154.0,176.40011337864837
shared,Energy-free VF=1.5 (3s),humanoidstandup,3,156400.0,305.5050463303894
shared,Energy-free VF=1.5 (3s),swimmer,3,126.5,17.22914197902302
shared,Energy-free VF=1.5 (3s),walker2d,3,4035.0,487.30927893211043
shared,Grouped-rho4 legacy d=.03 (5s),ant,5,4742.4,226.47242657771827
shared,Grouped-rho4 legacy d=.03 (5s),halfcheetah,5,5247.4,625.5095203112419
shared,Grouped-rho4 legacy d=.03 (5s),hopper,5,3076.8,217.48733296447406
shared,Grouped-rho4 legacy d=.03 (5s),humanoid,5,6127.2,175.16203926650317
shared,Grouped-rho4 legacy d=.03 (5s),humanoidstandup,5,184940.0,17283.07264348559
shared,Grouped-rho4 legacy d=.03 (5s),swimmer,5,63.32199999999996,14.439600202221657
shared,Grouped-rho4 legacy d=.03 (5s),walker2d,5,4475.4,275.2132990972638
shared,Grouped-rho4 legacy d=.1 (5s),ant,5,4458.200000000001,322.1776528563079
shared,Grouped-rho4 legacy d=.1 (5s),halfcheetah,5,5510.4,339.8376965552821
shared,Grouped-rho4 legacy d=.1 (5s),hopper,5,2716.2,184.15873587750323
