cell_id	wave	momentum	environment	seed
001	1	0.5	ant	0
002	1	0.5	ant	1
003	1	0.5	halfcheetah	0
004	1	0.5	halfcheetah	1
005	1	0.5	hopper	0
006	1	0.5	hopper	1
007	1	0.5	humanoid	0
008	1	0.5	humanoid	1
009	1	0.5	humanoidstandup	0
010	1	0.5	humanoidstandup	1
011	1	0.5	swimmer	0
012	1	0.5	swimmer	1
013	1	0.5	walker2d	0
014	1	0.5	walker2d	1
015	1	0.7	ant	0
016	1	0.7	ant	1
017	1	0.7	halfcheetah	0
018	1	0.7	halfcheetah	1
019	1	0.7	hopper	0
020	1	0.7	hopper	1
021	1	0.7	humanoid	0
022	1	0.7	humanoid	1
023	1	0.7	humanoidstandup	0
024	1	0.7	humanoidstandup	1
025	2	0.7	swimmer	0
026	2	0.7	swimmer	1
027	2	0.7	walker2d	0
028	2	0.7	walker2d	1
029	2	0.8	ant	0
030	2	0.8	ant	1
031	2	0.8	halfcheetah	0
032	2	0.8	halfcheetah	1
033	2	0.8	hopper	0
034	2	0.8	hopper	1
035	2	0.8	humanoid	0
036	2	0.8	humanoid	1
037	2	0.8	humanoidstandup	0
038	2	0.8	humanoidstandup	1
039	2	0.8	swimmer	0
040	2	0.8	swimmer	1
041	2	0.8	walker2d	0
042	2	0.8	walker2d	1
